lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
yle,Yelî Dnye,Yele,Yele,Papunesia,"Phonology and Grammar of Yele, Papua New Guinea ",James Henderson,1995,118,eng,grammar_sketch
yee,Yimas,Ramu-Lower Sepik,Lower Sepik,Papunesia,The Yimas Language of New Guinea,"Foley, William A. ",1991,506,eng,grammar
ano,Andoke,Andoke,Andoke,South America,La langue des Andoke,"Landaburu, Jon ",1976,350,fra,grammar
ayr,Aymara (Central),Aymaran,Aymaran,South America,Beginning Aymara. A course for English speakers,"Wexler, Paul ",1967,502,eng,grammar
boa,Bora,Boran,Boran,South America,A Grammar of Bora with Special Attention to Tone,"Thiesen, Wesley and David Weber ",2012,583,eng,grammar
bor,Bororo,Bororoan,Bororoan,South America,A Grammar of Bororo,Thomas H. Crowell,1979,277,eng,grammar
cbv,Cacua,Cacua-Nukak,Cacua-Nukak,South America,A Grammar of Kakua,Katherine Bolaños,2016,415,eng,grammar
kbh,Camsá,Camsá,Camsá,South America,A grammatical description of Kamsá: A language isolate of Colombia,"O'Brien, Colleen Alena ",2018,278,eng,grammar
cyb,Cayuvava,Cayuvava,Cayuvava,South America,Morphology of Cayuvava,"Key, Harold ",1963,96,eng,grammar_sketch
cao,Chácobo,Pano-Tacanan,Panoan,South America,"A Grammar of Chácobo, a southern Pano language of the northern Bolivian Amazon ",Adam J. R. Tallman,2018,1422,eng,grammar
cht,Cholón,Hobitu-Cholon,Hobitu-Cholon,South America,Eighteenth-Century Cholón,Astrid Alexander-Bakkerus,2005,533,eng,grammar
cod,Cocama,Tupian,Maweti-Guarani,South America,A grammar of Kokama-Kokamilla,"Vallejos Yopán, Rosa ",2010,947,eng,grammar
cul,Culina,Arauan,Arauan,South America,A reference grammar of Kulina,Stefan Dienst,2006,740,eng,grammar
emp,Emberá (Northern),Choco,Choco,South America,An introduction to Ępęra speech: Sambú dialect,"Loewen, Jacob Abram ",1958,295,eng,grammar
